"Date","Price","Open","High","Low","Change %"
"Jun 09, 1999","1.6021","1.6060","1.6071","1.5981","-0.26%"
"Jun 08, 1999","1.6063","1.5997","1.6073","1.5985","0.43%"
"Jun 07, 1999","1.5995","1.6103","1.6115","1.5982","-0.67%"
"Jun 04, 1999","1.6103","1.6043","1.6120","1.6022","0.31%"
"Jun 03, 1999","1.6053","1.6038","1.6095","1.6027","0.04%"
"Jun 02, 1999","1.6047","1.6110","1.6142","1.6030","-0.47%"
"Jun 01, 1999","1.6122","1.6020","1.6131","1.5990","0.57%"
"May 31, 1999","1.6030","1.6028","1.6057","1.6007","0.10%"
"May 28, 1999","1.6014","1.5970","1.6044","1.5955","0.21%"
"May 27, 1999","1.5980","1.5940","1.6023","1.5880","0.26%"
"May 26, 1999","1.5938","1.6048","1.6053","1.5938","-0.69%"
"May 25, 1999","1.6048","1.5980","1.6060","1.5960","0.36%"
"May 24, 1999","1.5990","1.6005","1.6040","1.5931","-0.10%"
"May 21, 1999","1.6006","1.6067","1.6092","1.6000","-0.37%"
"May 20, 1999","1.6065","1.6180","1.6226","1.6065","-0.64%"
"May 19, 1999","1.6168","1.6206","1.6227","1.6157","-0.23%"
"May 18, 1999","1.6206","1.6174","1.6258","1.6168","0.19%"
"May 17, 1999","1.6175","1.6220","1.6220","1.6148","-0.09%"
"May 14, 1999","1.6190","1.6220","1.6247","1.6137","-0.09%"
"May 13, 1999","1.6204","1.6176","1.6221","1.6170","0.19%"
"May 12, 1999","1.6173","1.6231","1.6233","1.6158","-0.36%"
"May 11, 1999","1.6231","1.6258","1.6284","1.6193","-0.14%"
"May 10, 1999","1.6254","1.6292","1.6345","1.6233","-0.25%"
"May 07, 1999","1.6295","1.6392","1.6397","1.6295","-0.62%"
"May 06, 1999","1.6397","1.6365","1.6437","1.6325","0.20%"
"May 05, 1999","1.6364","1.6277","1.6393","1.6258","0.47%"
"May 04, 1999","1.6287","1.6088","1.6294","1.6084","1.20%"
"May 03, 1999","1.6094","1.6090","1.6126","1.6067","-0.01%"
"Apr 30, 1999","1.6095","1.6095","1.6140","1.6060","0.02%"
"Apr 29, 1999","1.6092","1.6138","1.6176","1.6071","-0.25%"
"Apr 28, 1999","1.6133","1.6171","1.6227","1.6132","-0.24%"
"Apr 27, 1999","1.6172","1.6120","1.6195","1.6090","0.32%"
"Apr 26, 1999","1.6120","1.6140","1.6214","1.6108","-0.22%"
"Apr 23, 1999","1.6155","1.6160","1.6205","1.6127","-0.08%"
"Apr 22, 1999","1.6168","1.6058","1.6168","1.6042","0.70%"
"Apr 21, 1999","1.6056","1.6097","1.6137","1.6041","-0.23%"
"Apr 20, 1999","1.6093","1.6120","1.6200","1.6090","-0.14%"
"Apr 19, 1999","1.6115","1.6117","1.6239","1.6056","-0.11%"
"Apr 16, 1999","1.6132","1.6093","1.6160","1.6034","0.25%"
"Apr 15, 1999","1.6092","1.6115","1.6162","1.6080","-0.16%"
"Apr 14, 1999","1.6118","1.6166","1.6210","1.6113","-0.29%"
"Apr 13, 1999","1.6165","1.6125","1.6173","1.6120","0.28%"
"Apr 12, 1999","1.6120","1.6085","1.6190","1.6085","0.28%"
"Apr 09, 1999","1.6075","1.6058","1.6100","1.6009","0.08%"
"Apr 08, 1999","1.6062","1.5959","1.6120","1.5955","0.59%"
"Apr 07, 1999","1.5967","1.5905","1.5992","1.5875","0.34%"
"Apr 06, 1999","1.5913","1.6006","1.6037","1.5840","-0.55%"
"Apr 05, 1999","1.6001","1.6039","1.6074","1.5984","-0.21%"
"Apr 02, 1999","1.6035","1.6025","1.6055","1.6023","0.07%"
"Apr 01, 1999","1.6023","1.6117","1.6140","1.6013","-0.52%"
"Mar 31, 1999","1.6107","1.6117","1.6162","1.6071","-0.09%"
"Mar 30, 1999","1.6122","1.6153","1.6187","1.6111","-0.20%"
"Mar 29, 1999","1.6155","1.6223","1.6242","1.6126","-0.51%"
"Mar 26, 1999","1.6237","1.6238","1.6270","1.6175","0.01%"
"Mar 25, 1999","1.6235","1.6343","1.6391","1.6216","-0.66%"
"Mar 24, 1999","1.6343","1.6382","1.6479","1.6332","-0.24%"
"Mar 23, 1999","1.6383","1.6280","1.6389","1.6216","0.61%"
"Mar 22, 1999","1.6284","1.6281","1.6294","1.6246","0.01%"
"Mar 19, 1999","1.6283","1.6290","1.6310","1.6260","-0.06%"
"Mar 18, 1999","1.6293","1.6305","1.6359","1.6262","-0.04%"
"Mar 17, 1999","1.6300","1.6290","1.6327","1.6242","0.09%"
"Mar 16, 1999","1.6285","1.6211","1.6302","1.6174","0.35%"
"Mar 15, 1999","1.6228","1.6305","1.6311","1.6189","-0.53%"
"Mar 12, 1999","1.6315","1.6369","1.6385","1.6285","-0.31%"
"Mar 11, 1999","1.6366","1.6262","1.6414","1.6212","0.62%"
"Mar 10, 1999","1.6265","1.6181","1.6292","1.6151","0.48%"
"Mar 09, 1999","1.6187","1.6100","1.6197","1.6065","0.62%"
"Mar 08, 1999","1.6087","1.6019","1.6119","1.6010","0.12%"
"Mar 05, 1999","1.6067","1.6098","1.6111","1.6050","-0.24%"
"Mar 04, 1999","1.6105","1.6134","1.6138","1.6052","-0.26%"
"Mar 03, 1999","1.6147","1.6162","1.6227","1.6115","-0.07%"
"Mar 02, 1999","1.6159","1.6085","1.6173","1.6046","0.54%"
"Mar 01, 1999","1.6073","1.5982","1.6120","1.5954","0.27%"
"Feb 26, 1999","1.6030","1.6017","1.6064","1.5973","-0.02%"
"Feb 25, 1999","1.6033","1.5975","1.6075","1.5974","0.38%"
"Feb 24, 1999","1.5973","1.6147","1.6162","1.5954","-1.11%"
"Feb 23, 1999","1.6153","1.6260","1.6274","1.6100","-0.72%"
"Feb 22, 1999","1.6270","1.6235","1.6280","1.6173","0.29%"
"Feb 19, 1999","1.6223","1.6347","1.6361","1.6201","-0.81%"
"Feb 18, 1999","1.6355","1.6348","1.6388","1.6325","0.06%"
"Feb 17, 1999","1.6345","1.6345","1.6395","1.6319","0.05%"
"Feb 16, 1999","1.6337","1.6328","1.6354","1.6236","0.43%"
"Feb 15, 1999","1.6267","1.6332","1.6368","1.6256","-0.45%"
"Feb 12, 1999","1.6340","1.6225","1.6345","1.6215","0.74%"
"Feb 11, 1999","1.6220","1.6245","1.6290","1.6191","-0.29%"
"Feb 10, 1999","1.6267","1.6370","1.6383","1.6254","-0.68%"
"Feb 09, 1999","1.6378","1.6391","1.6435","1.6334","-0.10%"
"Feb 08, 1999","1.6395","1.6313","1.6404","1.6286","0.43%"
"Feb 05, 1999","1.6325","1.6440","1.6460","1.6315","-0.76%"
"Feb 04, 1999","1.6450","1.6365","1.6458","1.6300","0.61%"
"Feb 03, 1999","1.6351","1.6380","1.6408","1.6330","-0.27%"
"Feb 02, 1999","1.6395","1.6431","1.6484","1.6385","-0.13%"
"Feb 01, 1999","1.6416","1.6477","1.6479","1.6381","-0.26%"
"Jan 29, 1999","1.6458","1.6488","1.6492","1.6418","-0.22%"
"Jan 28, 1999","1.6495","1.6480","1.6510","1.6445","0.17%"
"Jan 27, 1999","1.6467","1.6591","1.6595","1.6437","-0.77%"
"Jan 26, 1999","1.6595","1.6588","1.6630","1.6563","0.11%"
"Jan 25, 1999","1.6577","1.6550","1.6613","1.6545","0.08%"
"Jan 22, 1999","1.6563","1.6525","1.6575","1.6495","0.25%"
"Jan 21, 1999","1.6522","1.6460","1.6555","1.6418","0.39%"
"Jan 20, 1999","1.6457","1.6565","1.6570","1.6445","-0.71%"
"Jan 19, 1999","1.6575","1.6525","1.6625","1.6480","0.30%"
"Jan 18, 1999","1.6525","1.6495","1.6567","1.6489","0.13%"
"Jan 15, 1999","1.6503","1.6563","1.6648","1.6485","-0.35%"
"Jan 14, 1999","1.6561","1.6498","1.6588","1.6439","0.43%"
"Jan 13, 1999","1.6490","1.6328","1.6595","1.6323","1.04%"
"Jan 12, 1999","1.6320","1.6295","1.6335","1.6233","0.14%"
"Jan 11, 1999","1.6297","1.6402","1.6450","1.6290","-0.77%"
"Jan 08, 1999","1.6423","1.6512","1.6525","1.6365","-0.59%"
"Jan 07, 1999","1.6520","1.6560","1.6587","1.6463","-0.18%"
"Jan 06, 1999","1.6549","1.6545","1.6654","1.6496","0.04%"
"Jan 05, 1999","1.6542","1.6582","1.6603","1.6529","-0.26%"
"Jan 04, 1999","1.6585","1.6582","1.6721","1.6540","0.26%"
"Dec 31, 1998","1.6542","1.6603","1.6663","1.6523","-0.35%"
"Dec 30, 1998","1.6600","1.6821","1.6833","1.6600","-1.28%"
"Dec 29, 1998","1.6816","1.6753","1.6856","1.6732","0.32%"
"Dec 28, 1998","1.6763","1.6730","1.6775","1.6713","0.24%"
"Dec 25, 1998","1.6723","1.6725","1.6735","1.6721","-0.10%"
"Dec 24, 1998","1.6740","1.6781","1.6790","1.6718","-0.24%"
"Dec 23, 1998","1.6780","1.6803","1.6833","1.6750","-0.10%"
"Dec 22, 1998","1.6797","1.6850","1.6854","1.6766","-0.25%"
"Dec 21, 1998","1.6839","1.6843","1.6862","1.6789","0.13%"
"Dec 18, 1998","1.6817","1.6740","1.6869","1.6740","0.49%"
"Dec 17, 1998","1.6735","1.6690","1.6819","1.6690","0.18%"
"Dec 16, 1998","1.6705","1.6835","1.6892","1.6692","-0.86%"
"Dec 15, 1998","1.6850","1.6922","1.6928","1.6833","-0.45%"
"Dec 14, 1998","1.6927","1.6860","1.6945","1.6806","0.21%"
"Dec 11, 1998","1.6892","1.6735","1.6910","1.6664","1.05%"
"Dec 10, 1998","1.6717","1.6557","1.6725","1.6552","0.97%"
"Dec 09, 1998","1.6557","1.6608","1.6608","1.6535","-0.16%"
"Dec 08, 1998","1.6583","1.6505","1.6593","1.6468","0.39%"
"Dec 07, 1998","1.6518","1.6605","1.6633","1.6505","-0.64%"
"Dec 04, 1998","1.6625","1.6675","1.6698","1.6601","-0.23%"
"Dec 03, 1998","1.6663","1.6685","1.6731","1.6601","-0.04%"
"Dec 02, 1998","1.6670","1.6550","1.6685","1.6495","0.79%"
"Dec 01, 1998","1.6540","1.6484","1.6560","1.6467","0.35%"
"Nov 30, 1998","1.6482","1.6536","1.6546","1.6447","-0.34%"
